Text,Sentiment,Sentiment_Category,Cleaned_Text,Polarity,Predicted_Sentiment,Word_Count
Sending affectionate vibes to friends and family.,Affection,Positive,sending affectionate vibes friends family,0.0,Neutral,5
Awe-struck by the beauty of the night sky.,Awe,Positive,awestruck beauty night sky,0.0,Neutral,4
Disappointed with the lack of progress in a personal project.,Disappointed,Negative,disappointed lack progress personal project,0.0,Neutral,5
A surprise visit from an old friend brought tears of joy.,Surprise,Neutral,surprise visit old friend brought tears joy,1.0,Positive,7
Embracing acceptance of life's ups and downs.,Acceptance,Neutral,embracing acceptance lifes ups downs,0.0,Neutral,5
Overflowing adoration for a cute rescue puppy! 🐶,Adoration,Positive,overflowing adoration cute rescue puppy,0.0,Neutral,5
Anticipating the release of a much-awaited movie.,Anticipation,Positive,anticipating release muchawaited movie,0.0,Neutral,4
Bitter experience at the customer service department.,Bitter,Negative,bitter experience customer service department,0.0,Neutral,5
Finding calmness amidst the chaos of daily life.,Calmness,Positive,finding calmness amidst chaos daily life,0.0,Neutral,6
Confusion reigns as I try to make sense of recent events.,Confusion,Neutral,confusion reigns try make sense recent events,0.0,Neutral,7
Excitement building up for a surprise birthday party.,Excitement,Positive,excitement building surprise birthday party,0.0,Neutral,5
Witnessed an act of kindness that made my day.,Kind,Positive,witnessed act kindness made day,0.0,Neutral,5
Pride in completing a challenging fitness challenge.,Pride,Positive,pride completing challenging fitness challenge,0.0,Neutral,5
A moment of shame for not speaking up against injustice.,Shame,Negative,moment shame speaking injustice,0.0,Neutral,4
Reflecting on the beauty of diversity in our world.,Acceptance,Neutral,reflecting beauty diversity world,0.0,Neutral,4
Excitement for a quiet evening with a good book.,Excitement,Positive,excitement quiet evening good book,1.0,Positive,5
Feeling bitter about the unfairness in the workplace.,Bitter,Negative,feeling bitter unfairness workplace,0.0,Neutral,4
Calmness prevails as I practice mindfulness.,Calmness,Positive,calmness prevails practice mindfulness,0.0,Neutral,4
Confusion surrounds me as I navigate through life's choices.,Confusion,Neutral,confusion surrounds navigate lifes choices,0.0,Neutral,5
Excitement for a weekend road trip to explore new places.,Excitement,Positive,excitement weekend road trip explore new places,0.0,Neutral,7
Kindness witnessed today restores my faith in humanity.,Kind,Positive,kindness witnessed today restores faith humanity,0.0,Neutral,6
Pride in accomplishing personal and professional goals.,Pride,Positive,pride accomplishing personal professional goals,0.0,Neutral,5
Shame for not being true to my values in a difficult situation.,Shame,Negative,shame true values difficult situation,0.0,Neutral,5
"Revisiting old memories, feeling a sense of elation.",Elation,Positive,revisiting old memories feeling sense elation,0.0,Neutral,6
The victory of our team brought euphoria to the city.,Euphoria,Positive,victory team brought euphoria city,0.0,Neutral,5
"Embracing the beauty of nature, a moment of contentment.",Contentment,Positive,embracing beauty nature moment contentment,0.0,Neutral,5
"Meditating by the serene lake, finding inner peace.",Serenity,Positive,meditating serene lake finding inner peace,0.0,Neutral,6
Overflowing with gratitude for life's blessings.,Gratitude,Positive,overflowing gratitude lifes blessings,0.0,Neutral,4
"Hopeful for a brighter tomorrow, despite challenges.",Hope,Positive,hopeful brighter tomorrow despite challenges,0.0,Neutral,5
Empowered to make a difference in my community.,Empowerment,Positive,empowered make difference community,0.0,Neutral,4
Compassion in action: supporting a local charity event.,Compassion,Positive,compassion action supporting local charity event,0.0,Neutral,6
"A moment of tenderness, connecting with loved ones.",Tenderness,Neutral,moment tenderness connecting loved ones,0.0,Neutral,5
Arousal of excitement as I await a special announcement.,Arousal,Neutral,arousal excitement await special announcement,0.0,Neutral,5
Enthusiastically diving into a new project.,Enthusiasm,Positive,enthusiastically diving new project,0.0,Neutral,4
Feeling a sense of fulfillment after reaching a milestone.,Fulfillment,Positive,feeling sense fulfillment reaching milestone,0.0,Neutral,5
Reverence for the beauty of a historic landmark.,Reverence,Positive,reverence beauty historic landmark,0.0,Neutral,4
Elation after a surprise reunion with old friends.,Elation,Positive,elation surprise reunion old friends,0.0,Neutral,5
The euphoria of a live music concert under the stars.,Euphoria,Positive,euphoria live music concert stars,0.0,Neutral,5
Contentment in the simplicity of a quiet Sunday.,Contentment,Positive,contentment simplicity quiet sunday,0.0,Neutral,4
Serenity found in the pages of a favorite book.,Serenity,Positive,serenity found pages favorite book,0.0,Neutral,5
Gratitude for the support received during tough times.,Gratitude,Positive,gratitude support received tough times,0.0,Neutral,5
Hopeful about the possibilities of a new journey.,Hope,Positive,hopeful possibilities new journey,0.0,Neutral,4
Empowerment through learning and personal growth.,Empowerment,Positive,empowerment learning personal growth,0.0,Neutral,4
Compassion towards those in need during the holidays.,Compassion,Positive,compassion towards need holidays,0.0,Neutral,4
Tenderness in the warmth of a cozy winter evening.,Tenderness,Neutral,tenderness warmth cozy winter evening,0.0,Neutral,5
Arousal of excitement for an upcoming adventure.,Arousal,Neutral,arousal excitement upcoming adventure,0.0,Neutral,4
Enthusiasm for a creative project in the making.,Enthusiasm,Positive,enthusiasm creative project making,0.0,Neutral,4
Fulfillment in completing a challenging workout routine.,Fulfillment,Positive,fulfillment completing challenging workout routine,0.0,Neutral,5
Reverence for the artistry displayed in a museum.,Reverence,Positive,reverence artistry displayed museum,0.0,Neutral,4
Elation after achieving a personal goal.,Elation,Positive,elation achieving personal goal,0.0,Neutral,4
Elation over discovering a hidden gem in the city.,Elation,Positive,elation discovering hidden gem city,0.0,Neutral,5
The euphoria of a surprise birthday celebration.,Euphoria,Positive,euphoria surprise birthday celebration,0.0,Neutral,4
Contentment in the simplicity of a home-cooked meal.,Contentment,Positive,contentment simplicity homecooked meal,0.0,Neutral,4
Serenity found in the melody of a peaceful piano.,Serenity,Positive,serenity found melody peaceful piano,0.0,Neutral,5
Gratitude for the supportive community around me.,Gratitude,Positive,gratitude supportive community around,0.0,Neutral,4
Hopeful about the prospects of a new business venture.,Hope,Positive,hopeful prospects new business venture,0.0,Neutral,5
Empowerment through mentoring and guiding others.,Empowerment,Positive,empowerment mentoring guiding others,0.0,Neutral,4
Compassion shown through acts of kindness in the community.,Compassion,Positive,compassion shown acts kindness community,0.0,Neutral,5
Tenderness in a heartfelt message to a loved one.,Tenderness,Neutral,tenderness heartfelt message loved one,0.0,Neutral,5
Arousal of excitement before a much-awaited trip.,Arousal,Neutral,arousal excitement muchawaited trip,0.0,Neutral,4
Enthusiasm for a new artistic project in the works.,Enthusiasm,Positive,enthusiasm new artistic project works,0.0,Neutral,5
Feeling a sense of fulfillment after helping others.,Fulfillment,Positive,feeling sense fulfillment helping others,0.0,Neutral,5
Reverence for the historical significance of a landmark.,Reverence,Positive,reverence historical significance landmark,0.0,Neutral,4
Elation after achieving a fitness milestone.,Elation,Positive,elation achieving fitness milestone,0.0,Neutral,4
The euphoria of a successful product launch.,Euphoria,Positive,euphoria successful product launch,0.0,Neutral,4
Contentment in the embrace of a loved one.,Contentment,Positive,contentment embrace loved one,0.0,Neutral,4
Serenity found in the beauty of a sunset by the sea.,Serenity,Positive,serenity found beauty sunset sea,0.0,Neutral,5
Gratitude for the small joys that each day brings.,Gratitude,Positive,gratitude small joys day brings,0.0,Neutral,5
Hopeful about the potential for personal growth.,Hope,Positive,hopeful potential personal growth,0.0,Neutral,4
Empowerment through learning a new skill.,Empowerment,Positive,empowerment learning new skill,0.0,Neutral,4
Compassion in volunteering for a local charity.,Compassion,Positive,compassion volunteering local charity,0.0,Neutral,4
Tenderness in a quiet moment shared with a pet.,Tenderness,Neutral,tenderness quiet moment shared pet,0.0,Neutral,5
Arousal of excitement for an upcoming festival.,Arousal,Neutral,arousal excitement upcoming festival,0.0,Neutral,4
Enthusiasm for a DIY home improvement project.,Enthusiasm,Positive,enthusiasm diy home improvement project,0.0,Neutral,5
Fulfillment in completing a challenging puzzle.,Fulfillment,Positive,fulfillment completing challenging puzzle,0.0,Neutral,4
Reverence for the wonders of nature on a hiking trail.,Reverence,Positive,reverence wonders nature hiking trail,0.0,Neutral,5
Elation after a surprise reunion with a childhood friend.,Elation,Positive,elation surprise reunion childhood friend,0.0,Neutral,5
Suffering from despair after another setback.,Despair,Negative,suffering despair another setback,0.0,Neutral,4
"Overwhelmed by grief, missing a loved one dearly.",Grief,Negative,overwhelmed grief missing loved one dearly,0.0,Neutral,6
Loneliness creeps in as the night grows colder.,Loneliness,Negative,loneliness creeps night grows colder,0.0,Neutral,5
Jealousy consumes me as I witness others' success.,Jealousy,Negative,jealousy consumes witness others success,0.0,Neutral,5
Resentment building up over past betrayals.,Resentment,Negative,resentment building past betrayals,0.0,Neutral,4
Frustration mounts as obstacles block my path.,Frustration,Negative,frustration mounts obstacles block path,0.0,Neutral,5
"Boredom sets in, the day feels endlessly dull.",Boredom,Negative,boredom sets day feels endlessly dull,-1.0,Negative,6
"Anxiety grips my heart, worry clouds my thoughts.",Anxiety,Negative,anxiety grips heart worry clouds thoughts,-1.0,Negative,6
Intimidation by the unknown future ahead.,Intimidation,Negative,intimidation unknown future ahead,0.0,Neutral,4
Helplessness sinks in as challenges pile up.,Helplessness,Negative,helplessness sinks challenges pile,0.0,Neutral,4
Envy eats away at me as I see others' prosperity.,Envy,Negative,envy eats away see others prosperity,0.0,Neutral,6
Regret over missed opportunities haunts my thoughts.,Regret,Negative,regret missed opportunities haunts thoughts,0.0,Neutral,5
Disgust at the sight of injustice and cruelty.,Disgust,Negative,disgust sight injustice cruelty,0.0,Neutral,4
"Drowning in despair, hope slipping through my fingers.",Despair,Negative,drowning despair hope slipping fingers,0.0,Neutral,5
"Grief weighs heavy, tears a constant companion.",Grief,Negative,grief weighs heavy tears constant companion,0.0,Neutral,6
"Loneliness in a crowded room, a silent cry for connection.",Loneliness,Negative,loneliness crowded room silent cry connection,0.0,Neutral,6
"Jealousy gnaws at my confidence, a toxic emotion.",Jealousy,Negative,jealousy gnaws confidence toxic emotion,0.0,Neutral,5
"Resentment festers, poisoning relationships.",Resentment,Negative,resentment festers poisoning relationships,0.0,Neutral,4
"Frustration boils over, a volcanic eruption of emotions.",Frustration,Negative,frustration boils volcanic eruption emotions,0.0,Neutral,5
"Boredom settles like dust, life feels mundane.",Boredom,Negative,boredom settles like dust life feels mundane,1.0,Positive,7
"Anxiety grips my chest, a relentless grip on my thoughts.",Anxiety,Negative,anxiety grips chest relentless grip thoughts,0.0,Neutral,6
"Intimidation by the challenges ahead, fear takes hold.",Intimidation,Negative,intimidation challenges ahead fear takes hold,-1.0,Negative,6
"Helplessness engulfs me, drowning in a sea of problems.",Helplessness,Negative,helplessness engulfs drowning sea problems,0.0,Neutral,5
"Envy poisons my thoughts, coveting others' success.",Envy,Negative,envy poisons thoughts coveting others success,0.0,Neutral,6
Regret for decisions that led to a painful present.,Regret,Negative,regret decisions led painful present,-1.0,Negative,5
Disgust at the corruption that stains society.,Disgust,Negative,disgust corruption stains society,0.0,Neutral,4
"Sinking in despair, each day darker than the last.",Despair,Negative,sinking despair day darker last,0.0,Neutral,5
"Grief overwhelms, a storm of emotions within.",Grief,Negative,grief overwhelms storm emotions within,0.0,Neutral,5
"Loneliness echoes in empty spaces, yearning for connection.",Loneliness,Negative,loneliness echoes empty spaces yearning connection,0.0,Neutral,6
"Jealousy poisons my thoughts, resentment brewing within.",Jealousy,Negative,jealousy poisons thoughts resentment brewing within,0.0,Neutral,6
"Resentment festers, a wound that refuses to heal.",Resentment,Negative,resentment festers wound refuses heal,0.0,Neutral,5
"Frustration escalates, a thunderstorm of emotions.",Frustration,Negative,frustration escalates thunderstorm emotions,0.0,Neutral,4
"Boredom lingers, a stagnant pool of indifference.",Boredom,Negative,boredom lingers stagnant pool indifference,0.0,Neutral,5
"Embarking on a journey of discovery, fueled by curiosity and a thirst for knowledge.",Curiosity,Positive,embarking journey discovery fueled curiosity thirst knowledge,0.0,Neutral,7
"Lost in the vast sea of information, an indifferent wave in the digital ocean.",Indifference,Neutral,lost vast sea information indifferent wave digital ocean,0.0,Neutral,8
"The complex puzzle of life leaves me in a state of perpetual confusion, seeking answers in the chaos.",Confusion,Neutral,complex puzzle life leaves state perpetual confusion seeking answers chaos,0.0,Neutral,10
"A numbness settles over me, a shield against the overwhelming emotions life throws my way.",Numbness,Negative,numbness settles shield overwhelming emotions life throws way,0.0,Neutral,8
"Gazing at the sunset, a melancholic longing for moments that slip through the fingers of time.",Melancholy,Negative,gazing sunset melancholic longing moments slip fingers time,0.0,Neutral,8
"Revisiting old photographs, caught in the embrace of nostalgia's bittersweet symphony.",Nostalgia,Neutral,revisiting old photographs caught embrace nostalgias bittersweet symphony,0.0,Neutral,8
"Torn between conflicting emotions, an ambivalence that paints my decisions in shades of uncertainty.",Ambivalence,Neutral,torn conflicting emotions ambivalence paints decisions shades uncertainty,0.0,Neutral,8
"Embracing the ebb and flow of life, finding acceptance in the dance of existence.",Acceptance,Neutral,embracing ebb flow life finding acceptance dance existence,0.0,Neutral,8
"Facing challenges head-on, a determination that fuels the fire within to achieve the impossible.",Determination,Positive,facing challenges headon determination fuels fire within achieve impossible,0.0,Neutral,9
"Serenity found in the stillness of nature, a tranquil retreat from the chaos of the modern world.",Serenity,Positive,serenity found stillness nature tranquil retreat chaos modern world,0.0,Neutral,9
"Curiosity leading me down the rabbit hole of knowledge, a perpetual student in life's classroom.",Curiosity,Positive,curiosity leading rabbit hole knowledge perpetual student lifes classroom,0.0,Neutral,9
"Floating through the day with an air of indifference, detached from the mundane happenings around.",Indifference,Neutral,floating day air indifference detached mundane happenings around,0.0,Neutral,8
"Entangled in the web of thoughts, confusion reigning as I navigate the labyrinth of ideas.",Confusion,Neutral,entangled web thoughts confusion reigning navigate labyrinth ideas,0.0,Neutral,8
"Numb to the chaos, emotions locked away, a stoic facade concealing the inner turmoil.",Numbness,Negative,numb chaos emotions locked away stoic facade concealing inner turmoil,0.0,Neutral,10
"Melancholy whispers in the breeze, a silent conversation with the echoes of forgotten dreams.",Melancholy,Negative,melancholy whispers breeze silent conversation echoes forgotten dreams,0.0,Neutral,8
"Stumbling upon an old journal, nostalgia flooding in waves, carrying me to moments long gone.",Nostalgia,Neutral,stumbling upon old journal nostalgia flooding waves carrying moments long gone,0.0,Neutral,11
"A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence.",Ambivalence,Neutral,tapestry conflicting feelings weaving uncertainty caught threads ambivalence,0.0,Neutral,8
"Embracing the flaws, finding acceptance in imperfection, a journey towards self-love.",Acceptance,Neutral,embracing flaws finding acceptance imperfection journey towards selflove,0.0,Neutral,8
"Determination burning like a wildfire, overcoming obstacles, turning dreams into reality.",Determination,Positive,determination burning like wildfire overcoming obstacles turning dreams reality,1.0,Positive,9
"Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace.",Serenity,Positive,tranquil moments ocean serenity washing peaceful retreat within waves embrace,0.0,Neutral,10
"Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge.",Curiosity,Positive,exploring new horizons spark curiosity adventurer vast landscape knowledge,0.0,Neutral,9
"Drifting through the day with a nonchalant demeanor, embracing the art of indifference.",Indifference,Neutral,drifting day nonchalant demeanor embracing art indifference,0.0,Neutral,7
"Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities.",Confusion,Neutral,wrestling thoughts perplexed mind lost labyrinth lifes complexities,0.0,Neutral,8
"Immersed in a state of emotional numbness, a shield against the storm of daily struggles.",Numbness,Negative,immersed state emotional numbness shield storm daily struggles,0.0,Neutral,8
"A melancholic symphony playing in the background, the soundtrack of a wistful heart.",Melancholy,Negative,melancholic symphony playing background soundtrack wistful heart,0.0,Neutral,7
"Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face.",Nostalgia,Neutral,flipping pages old yearbook nostalgia painting smiles tears face,0.0,Neutral,9
"Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty.",Ambivalence,Neutral,torn opposing emotions ambivalence colors decisions shades uncertainty,0.0,Neutral,8
"Embracing life's imperfections, finding acceptance in the journey, scars and all.",Acceptance,Neutral,embracing lifes imperfections finding acceptance journey scars,0.0,Neutral,7
"A fiery determination burning within, fueled by the vision of reaching unparalleled heights.",Determination,Positive,fiery determination burning within fueled vision reaching unparalleled heights,0.0,Neutral,9
"Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul.",Serenity,Positive,basking serenity quiet forest whispers nature bring peace soul,0.0,Neutral,9
"Indifferent to the noise of the world, a silent observer in the midst of life's cacophony.",Indifference,Neutral,indifferent noise world silent observer midst lifes cacophony,0.0,Neutral,8
"Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas.",Confusion,Neutral,navigating labyrinth thoughts confusion constant companion maze ideas,0.0,Neutral,8
"An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience.",Numbness,Negative,impenetrable numbness shields emotional storms fortress stoic resilience,0.0,Neutral,8
"Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories.",Melancholy,Negative,melancholy painting world hues nostalgia canvas bittersweet memories,0.0,Neutral,8
"A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead.",Nostalgia,Neutral,journey past flipping pages old diary nostalgia taking lead,0.0,Neutral,9
"Ambivalence clouding decisions, caught in the crossroads of conflicting emotions.",Ambivalence,Neutral,ambivalence clouding decisions caught crossroads conflicting emotions,0.0,Neutral,7
"Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos.",Acceptance,Neutral,embracing imperfections finding acceptance mosaic lifes beautiful chaos,1.0,Positive,8
"Determination as the driving force, propelling me forward on the path to extraordinary achievements.",Determination,Positive,determination driving force propelling forward path extraordinary achievements,0.0,Neutral,8
"Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life.",Serenity,Positive,seeking serenity melody raindrops tranquil escape noise everyday life,0.0,Neutral,9
"Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories.",Curiosity,Positive,curiosity driving exploration unknown seeker knowledge uncharted territories,0.0,Neutral,8
"Drifting through the day with an air of nonchalance, indifferent to the trivialities of life.",Indifference,Neutral,drifting day air nonchalance indifferent trivialities life,0.0,Neutral,7
"Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity.",Confusion,Neutral,lost labyrinth thoughts confusion casting shadows quest clarity,0.0,Neutral,8
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",Numbness,Negative,wrapped cloak emotional numbness shield storms lifes turbulence,0.0,Neutral,8
"Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning.",Melancholy,Negative,melancholy companion painting canvas life brushstrokes wistful yearning,0.0,Neutral,8
"Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears.",Nostalgia,Neutral,leafing pages old photo album nostalgia weaving tales laughter tears,0.0,Neutral,10
"Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions.",Ambivalence,Neutral,ambivalence air caught crossroads conflicting emotions decisions,0.0,Neutral,7
"Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art.",Acceptance,Neutral,embracing beauty imperfections finding acceptance mosaic lifes unpredictable art,0.0,Neutral,9
"Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities.",Determination,Positive,determination ablaze forging path challenges sculpting dreams tangible realities,0.0,Neutral,9
"Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul.",Serenity,Positive,immerse serenity moonlit night quiet whispers nature bring peace soul,0.0,Neutral,10
"Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world.",Curiosity,Positive,fueled curiosity venturing uncharted realms fearless explorer mysteries world,0.0,Neutral,9
"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence.",Numbness,Negative,wrapped cloak emotional numbness shield storms lifes turbulence,0.0,Neutral,8
